id_final;Q17;Q18;;;;;;;;;;;;;;;;
id_final;Pensez-vous que les insectes aient besoin d’être protégés ?;Pour quelles raisons pensez-vous cela ?;Q18_SERVICES_RESOURCES;Q18_INTERCONNECTED;Q18_HUMAN_PROTECTION;Q18_SPECIES_PROTECTION;Q18_SPECIES_NOT_TO_PROTECT;Q18_UNPLEASANT;Q18_THREATENED;Q18_BEES;Q18_RIGHT_TO_EXIST;Q18_HUMAN_RESPONSIBILITY;Q18_LIFE_PROTECTION;Q18_ECOSYSTEM_PROTECTION;Q18_BEAUTY;Q18_INDICATOR;Q18_BIG_PART_BIODIVERSITY;Q18_SADNESS
1;Ne sais pas;"Les insectes sont à l'origine du bon fonctionnement des sols, de la pollinisation indispensable à l'alimentation et à la reproduction de nombreuses espèces végétales. 
Cependant protéger les insectes dans leur globalité conduira à une séquence ERC encore plus forte et pointue, la compensation étant extrêmement complexe. J'aurais plutôt tendance à vouloir travailler sur les causes d'érosion des insectes (agriculture intensive, manque de diversité végétales, conversion des terres et artificialisation) plutôt qu'à la protection spécifique de nouvelles espèces (sauf certaines espèces en danger critique et peu communes)";1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
2;Oui, tout à fait d'accord;Espèces clef de voutes, pollinisateurs etc .. La végétation à coévoluée avec les insectes.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;Oui, tout à fait d'accord;Ce sont eux qui fécondent les végétaux, à la base de la chaîne alimentaire comme les végétaux, ..;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;Oui, tout à fait d'accord;Malgré mon aversion, pour certains d'entre eux, oui nous devons réagir car sans cela, la chaîne alimentaire et le lien être la faune et la flore se verraient perturbé.;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0
5;Oui, tout à fait d'accord;car ils offrent des services écosystémiques indispensables à notre survie;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
6;Oui, tout à fait d'accord;les insectes sont un des chainons de l'équilibre sur terre. Ils participent notamment à la pollinisation, dont dépend une grande majrité de notre alimentation ;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
7;Oui, tout à fait d'accord;services rendus à l'humanité;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
8;Oui, d'accord;tout est question d'équilibre, ils font partie de la chaine alimentaire, et il faut veiller à ce qu'il y en ait assez pour ne pas intaller de dérèglement ailleurs, mais certaines espèces d'insectes comme les criquets par exemple, en trop grande quantités peuvent être dévastatrices et jouer un rôle négatif également. Il faut donc que tout ceci soit régulé;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
9;Oui, tout à fait d'accord;1er maillon chaîne alimentaire et donc indispensables + action sur la végétalisation;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;Oui, tout à fait d'accord;fait partie de la biodiversité et nécessaire à la survie de certaines espèces;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0
11;Oui, tout à fait d'accord;Ils participent à la chaine alimentaire, au fonctionnement des écosystèmes, a la reproduction des espèces (insectes pollinisateurs), fonction de régulateurs (insectes nécrophages);1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
12;Oui, tout à fait d'accord;Ils assurent de nombreux services écosystèmiques invisibles ou visibles, ils sont un maillon de la chaîne alimentaire (oiseaux...);1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;Oui, tout à fait d'accord;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0
14;Oui, tout à fait d'accord;ils sont indispensables à la biodiversité chaque espèce joue un rôle ;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
15;Oui, tout à fait d'accord;Ils sont indispensables à l'équilibre des écosystème : chaine alimentaire, pollinisation...;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
16;Oui, tout à fait d'accord;ils sont une source alimentaire pour certaines espèces;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
17;Oui, tout à fait d'accord;Mesurant difficilement les enjeux liés aux interrelations entre les insectes et les écosystèmes dont nous dépendons, nous avons donc un devoir de précotions ;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
18;Oui, d'accord;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0
19;Oui, tout à fait d'accord;pour préserver la biodiversité;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
20;Oui, tout à fait d'accord;Parce qu'ils permettent de polliniser les cultures mais aussi de faire en sorte que le sol reste fertile en dégradant les déchets organiques qui s'y trouve.;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
21;Oui, d'accord;maillon essentiel d’écosystème ;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
22;Oui, tout à fait d'accord;ce sont des éléments essentiels à la survie de chaque espèce;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
23;Oui, d'accord;Pas d'insectes pas de pollinisation ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;Oui, tout à fait d'accord;Pour préserver l'équilibre naturel;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;Oui, tout à fait d'accord;ils sont au centre de la diversité;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0
26;Oui, tout à fait d'accord;biodiversité ;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
27;Oui, d'accord;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0
28;Oui, tout à fait d'accord;Car ils sont à la base de la chaine alimentaire et pollinisent les fleurs;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;Oui, tout à fait d'accord;ils participent au bon fonctionnement de notre planète;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
30;Oui, tout à fait d'accord;Pour leur participation à la chaîne alimentaire notamment;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
31;Oui, tout à fait d'accord;de leur proportion dépend toute la chaine alimentaire;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;Oui, d'accord;Base alimentaire pour nombres d'animaux, utile pour pollinisation, utile pour dégradation végétale et animale;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;Oui, tout à fait d'accord;c'est un écosystème, un ensemble entre les animaux et la nature qui doit être protégé;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
34;Ne sais pas;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
35;Oui, tout à fait d'accord;la disparition des abeilles par exemple qui serait une catastrophe;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
36;Oui, d'accord;certains insectes sont primordiales afin de faire respecter la chaine alimentaires (même les moustiques ....);0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;Oui, tout à fait d'accord;équilibre de la nature;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;Oui, tout à fait d'accord;La polonisation et l'équilibre de la planète (chaine alimentaire);1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;Oui, tout à fait d'accord;"Malgré leur aspect déplaisant et leur côté ""piquant"", les insectes jouent un rôle ""microscopique"" dans le maintien de la vie sur Terre. Sans eux, point de pollinisation par exemple. Donc plus de fleurs, ni de fruits.";1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0
40;Oui, tout à fait d'accord;Participation active cycle vie et chaine ecologie;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;Oui, tout à fait d'accord;sans eux, toute la chaîne alimentaire stopperait. Les plantes ne germerait plus....;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;Oui, tout à fait d'accord;Parmi les plus sensible aux changements, souvent à la base de la chaîne alimentaire et rôle prépondérant dans la pollinisation.;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
43;Oui, d'accord;Car ils participent à l'écosystème;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
44;Oui, d'accord;ils sont utiles à la reproduction de certaines plantes, nourrissent animaux et hommes, participent au nettoyage de matières en décomposition;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
45;Oui, tout à fait d'accord;Les abeilles doivent être protégées ;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
46;Oui, tout à fait d'accord;Préserver les écosystèmes, et la chaîne alimentaire pour la survie des espèces prédatrices d'insectes;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0
47;Oui, tout à fait d'accord;Équilibre des écosystèmes (notamment dans le domaine agricole-limite l'utilisation des pesticides...);0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
48;Oui, d'accord;ils font partie d'une chaine alimentaire  et sont polinisateurs ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;Oui, tout à fait d'accord;parce qu'ils participent à la pollinisation, qu'ils sont le premier maillon de la chaine alimentaire, qu'ils sont un indicateur de la biodiversité d'une manière générale;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0
50;Oui, tout à fait d'accord;Les insectes sont un éléments clé du développement des autres espèces (notamment pour la pollinisation et leur rôle dans la chaîne alimentaire).;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
51;Oui, tout à fait d'accord;Les insectes pollinisent et sont à la base de la chaine alimentaire;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;Oui, tout à fait d'accord;ils sont sensibles aux impacts de l'environnement ;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
53;Ne sais pas;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
54;Oui, d'accord;;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0
55;Oui, d'accord;pour garantir leur diversité et éviter de ne se concentrer que sur ce qui est intéressant sur le plan nutritif par exemple, il faut aussi conserver ce qui ne nous semble pas avoir d'intérêt direct pour l'Homme;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
56;Oui, tout à fait d'accord;ils sont prépondérants sur terre et jouent un rôle important dans le cycle de la vie;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0
57;Oui, d'accord;Ils sont les premiers de la chaine trophique;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;Oui, tout à fait d'accord;usage de produits phytosanitaires, urbanisation et diminution du couvert végétal, baisse voire disparition des plantes hotes;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
59;Oui, tout à fait d'accord;ils sont indispensables pour l'équilibre de la nature dont nous dépendons;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
60;Oui, tout à fait d'accord;indispensable pour la pollinisation et donc la production maraîchère en autre;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
61;Ne sais pas;Protégez oui et non, ils ont besoin qu'on arrête d'utiliser à tort ou à raison des insecticides en agriculture et en usage domestique. Il faut utiliser des techniques biologique qui contournent et non qui détruisent;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
62;Oui, tout à fait d'accord;Parce qu'ils sont à la base du fonctionnement des écosystèmes (pollinisation) et à la base de la chaine alimentaire terrestre (proie des oiseaux et des chiroptères);1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
63;Oui, tout à fait d'accord;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
64;Oui, tout à fait d'accord;Ils sont indispensables au fonctionnement des écosystèmes;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
65;Oui, tout à fait d'accord;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
66;Oui, tout à fait d'accord;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
67;Oui, tout à fait d'accord;Maintien des interactions nécessaires au fonctionnement du système du vivant ;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
68;Oui, tout à fait d'accord;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
69;Oui, tout à fait d'accord;Pour la biodiversité végétale;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
70;Oui, tout à fait d'accord;Ils sont essentiels au développement de la biodiversité et aux services écosystémiques;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
71;Oui, d'accord;Ils participent au fonctionnement de tous les écosystèmes (épuration, pollinisation, source de nourriture pour d'autres espèces).;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
72;Oui, tout à fait d'accord;Ils sont à la base de la pyramide alimentaire. S'ils disparaissent, tous les animaux s'en nourrissant disparaissent, et ainsi de suite potentiellement jusqu'à l'Homme. ;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
73;Oui, tout à fait d'accord;Ils ont un rôle essentiel dans les écosystèmes dont il font partie : pollinisation, participation aux cycles du carbone et de l'azote, source alimentaire, régulation, ...;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
74;Oui, tout à fait d'accord;Ils sont indispensables aux écosystèmes.;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
75;Oui, d'accord;les insectes sont un mail de la chaîne alimentaire... dans un sens, et dans l'autre;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
76;Oui, d'accord;ils sont indispensables à l'équilibre global de la chaine alimentaire, à la pollinisation des fleurs, ...;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;Oui, tout à fait d'accord;Leur role est important pour les legumes etc etc ;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;Non, pas d'accrod;"Même réponse que pour la biodiversité.
Nous devons adapter nos activités, notre mode d’habiter et nos représentations.";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
79;Oui, tout à fait d'accord;ils ont une forte utilité dans l'écosystème , ils font partis de la chaines alimentaires et leur rôle est primordial . imaginons un monde sans abeilles ?!  plus de miel ? non pas simplement ;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0
80;Oui, tout à fait d'accord;Ils sont des animaux d'importance primordiale dans les réseaux trophiques, ils sont la source d'alimentation de beaucoup d'autres espèces existantes, et servent aussi à la pollinisation, et permettent la reproduction de certaines plantes qui en dépendent.;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;Oui, tout à fait d'accord;parce qu'ils participent à la vie sur terre, la pollinisation, la dégradation de matière, ...;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82;Oui, tout à fait d'accord;chaine alimentaire - équilibre des écosystèmes- services écosystémiques;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
83;Oui, tout à fait d'accord;Ils sont essentiels à la chaine alimentaire et à l'équilibre de la nature.;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84;Oui, d'accord;ils font notre ecosystème, le climat, l'Homme aujourd'hui apporte de nouveau prédateurs. Il est nécessaire de protéger leur habitat, et leur milieu. Les insectes jouent un rôle essentiel dans notre biodiversité, ils permettent de réguler la flore. ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85;Oui, tout à fait d'accord;"places dans l ecosysteme. Sans abielles par ex, extinction de la vie à court terme
";0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0
86;Oui, tout à fait d'accord;Utile à tous les éco-systèmes, beauté, le droit d'exister, utile pour l'Homme (santé, agriculture, nourriture);1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0
87;Oui, tout à fait d'accord;pour préserver les écosystèmes, ils ont un rôle dedans : manger les carcasses d'animaux, filtrer l'eau, être dans la chaîne alimentaire ;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
88;Oui, tout à fait d'accord;Rôle écosystémique majeur - Perte de population très importante;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
89;Oui, tout à fait d'accord;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
90;Oui, tout à fait d'accord;Essentiels à la chaîne alimentaire;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
91;Oui, d'accord;Ils participent à l'équilibre de notre écosystème (polinisateur, prédateur pour d'autres insectes pouvant nuire aux cultures,...);1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
92;Oui, tout à fait d'accord;Indispensable à la chaine alimentaire biologique et pour l'harmonie des écosystèmes ;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
93;Oui, tout à fait d'accord;Pollinisation, aide à la décomposition des végétaux, nettoyage des sols, nourriture pour d'autres animaux (oiseaux surtout...) ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94;Oui, tout à fait d'accord;"Les insectes sont la base de toute chaîne alimentaire. Sans eux beaucoup d'espèces animales vont disparaître,
Pollinisateurs pour fruits, légumes, ...
Nettoyeurs de la nature";1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
