id;Q2;Q3;;;;;;;;;;;;;;
id_final;Pensez-vous que la biodiversité ait besoin d’être protégée ?;Pour quelles raisons pensez-vous cela ?;Q3_SERVICES_RESOURCES;Q3_INTERCONNECTED;Q3_HUMAN_PROTECTION;Q3_SPECIES_PROTECTION;Q3_THREATENED;Q3_RIGHT_TO_EXIST;Q3_HUMAN_RESPONSIBILITY;Q3_LIFE_PROTECTION;Q3_ECOSYSTEM_PROTECTION;Q3_BEAUTY;Q3_FUTURE_GENERATIONS;Q3_SADNESS;Q3_RESILIENCE;Q3_SPECIES_NOT_TO_PROTECT
1;Oui, tout à fait d'accord;Les espèces étant en déclin, il est nécessaire de cadrer réglementairement la protection des espèces et de leurs habitats pour limiter cette érosion. ;0;0;0;1;1;0;0;0;0;0;0;0;0;0
2;Oui, tout à fait d'accord;Sans biodiversité, pas de service écosystémique, sans service écosystémique, pas de vie.;1;0;0;0;0;0;0;1;0;0;0;0;0;0
3;Oui, tout à fait d'accord;C’est notre avenir qui est en jeu;0;0;1;0;0;0;0;0;0;0;0;0;0;0
4;Oui, tout à fait d'accord;Car à l'avenir si nous ne réagissons pas, des espèces disparaîtront alors qu'elles contribue depuis l'existence de la terre à l'équilibre de la vie.;0;1;0;1;1;0;0;1;0;0;0;0;0;0
5;Oui, tout à fait d'accord;déclin de la biodiversité, disparition de nombreuses espèces, changement climatique, prolifération des espèces exotiques envahissantes, etc;0;0;0;0;1;0;0;0;0;0;0;0;0;0
6;Oui, tout à fait d'accord;car sans la protection, les atteintes ne feront qu'augmenter;0;0;0;0;1;0;0;0;0;0;0;0;0;0
7;Oui, tout à fait d'accord;pour garder la diversité;0;0;0;0;0;0;0;0;1;0;0;0;0;0
8;Oui, tout à fait d'accord;préserver l'équilibre des écosystèmes est primordial, cela passe par la biodiversité;0;1;0;0;0;0;0;0;0;0;0;0;0;0
9;Oui, tout à fait d'accord;Ils ne peuvent pas se défendre contre les changements sur une échelle courte de leur niche écologique induits par l'action de l'homme.;0;0;0;1;1;0;1;0;0;0;0;0;0;0
10;Oui, tout à fait d'accord;La biodiversité est le maillon essentiel de la survie des espèces;0;1;0;1;0;0;0;0;0;0;0;0;0;0
11;Oui, tout à fait d'accord;Pour notre équilibre sanitaire mondial, pour les générations futures, pour la beauté et la vie qu'offre la biodiversité;1;0;1;0;0;0;0;0;0;1;1;0;0;0
12;Oui, tout à fait d'accord;C'est une richesse, elle est indispensable à notre survie, et de + elle assure des fonctions ecosystemiques non remplaçables ;1;1;1;0;0;0;0;0;0;0;0;0;0;0
13;Oui, tout à fait d'accord;;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
14;Oui, tout à fait d'accord;On voit bien la différence depuis plusieurs années et de plus en plus rapidement les 10 dernières;0;0;0;0;1;0;0;0;0;0;0;0;0;0
15;Oui, tout à fait d'accord;Pour la beauté et la magie de cette diversité,... et plus prosaïquement, car il en va de la survie (j'aurais aimé écrire la stabilité, mais pour ça il est probablement trop tard)  des espèces restantes... dont la notre;0;0;1;1;0;0;0;0;0;1;0;0;0;0
16;Oui, tout à fait d'accord;pour assurer la survie de toutes les espèces;0;0;0;1;0;0;0;0;0;0;0;0;0;0
17;Oui, tout à fait d'accord;Elle est l'essence de la vie. Des écosystèmes fragilisés, c'est notre futur qui devient incertain ;0;1;1;0;0;0;0;0;0;0;0;0;0;0
18;Oui, tout à fait d'accord;ecoute et lecture;0;0;0;0;1;0;0;0;0;0;0;0;0;0
19;Oui, tout à fait d'accord;au regard des dégâts de la pollution et du dérèglement climatique qui existent déjà;0;0;0;0;1;0;1;0;0;0;0;0;0;0
20;Oui, tout à fait d'accord;A cause du réchauffement climatique, des destructions des forêts amazonienne. ;0;0;0;0;0;0;1;0;0;0;0;0;0;0
21;Oui, d'accord;Chaque espèce a son rôle.;0;1;0;0;0;0;0;0;0;0;0;0;0;0
22;Oui, tout à fait d'accord;la vie humaine dépend de la biodiversité;0;1;1;0;0;0;0;0;0;0;0;0;0;0
23;Oui, d'accord;Autorégulation ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
24;Oui, tout à fait d'accord;Pour maintenir l'équilibre naturel au sens large, nécessaire à la vie sur terre.;0;1;0;0;0;0;0;1;0;0;0;0;0;0
25;Oui, tout à fait d'accord;disparition d'espèces;0;0;0;0;1;0;0;0;0;0;0;0;0;0
26;Oui, tout à fait d'accord;c'est l'équilibre de la nature.;0;1;0;0;0;0;0;1;0;0;0;0;0;0
27;Oui, tout à fait d'accord;Parce que, chaque mois, des espèces disparaissent définitivement de la planète Terre et c'est dramatique;0;0;0;1;1;0;0;0;0;0;0;0;0;0
28;Oui, tout à fait d'accord;pression sur les espèces via la disparition et la pollution des milieux, la chasse;0;0;0;0;1;0;1;0;0;0;0;0;0;0
29;Oui, tout à fait d'accord;La biodiversité participe à l'équilibre de notre planète;0;1;0;0;0;0;0;1;0;0;0;0;0;0
30;Oui, tout à fait d'accord;Afin d'assurer la pérennité des écosystèmes;0;0;0;0;0;0;0;0;1;0;0;0;0;0
31;Oui, tout à fait d'accord;On est les fautifs, à nous de réparer.;0;0;0;0;0;0;1;0;0;0;0;0;0;0
32;Oui, tout à fait d'accord;L'impacte négatif de l'home sur la planète;0;0;0;0;0;0;1;0;0;0;0;0;0;0
33;Oui, tout à fait d'accord;l'être humain a déjà trop fait de dégâts sur la planète;0;0;0;0;0;0;1;0;0;0;0;0;0;0
34;Oui, d'accord;;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
35;Oui, tout à fait d'accord;diminution de la biodiversité = risque pour la planète et les espèces qui y vivent;0;0;0;1;0;0;0;1;0;0;0;0;0;0
36;Oui, tout à fait d'accord;il n'y a rien de plus triste que de savoir qu'une espèce c'est éteinte par notre faute;0;0;0;0;0;0;1;0;0;0;0;1;0;0
37;Oui, tout à fait d'accord;Avenir de nos enfants;0;0;0;0;0;0;0;0;0;0;1;0;0;0
38;Oui, tout à fait d'accord;Pour l'équilibre de la planète;0;1;0;0;0;0;0;1;0;0;0;0;0;0
