id_final;Q74;
id_final;Actuellement, vous êtes :;Q74_CODED
1;En activité;En activité
2;En activité;En activité
3;En activité;En activité
4;En activité;En activité
5;En activité;En activité
6;En activité;En activité
7;En activité;En activité
8;En activité;En activité
9;En activité;En activité
10;En activité;En activité
11;En activité;En activité
12;En activité;En activité
13;En activité;En activité
14;En activité;En activité
15;En activité;En activité
16;En activité;En activité
17;En activité;En activité
18;En activité;En activité
19;En activité;En activité
20;En activité;En activité
21;En activité;En activité
22;En activité;En activité
23;En activité;En activité
24;En activité;En activité
25;En activité;En activité
26;En activité;En activité
27;En activité;En activité
28;En activité;En activité
29;Auto entrepreneur;En activité
30;En activité;En activité
31;En activité;En activité
32;En activité;En activité
33;En activité;En activité
34;En activité;En activité
35;En activité;En activité
36;Etudiant;Etudiant
37;En activité;En activité
38;En activité;En activité
39;En activité;En activité
40;En activité;En activité
41;En activité;En activité
42;En activité;En activité
43;En activité;En activité
44;En activité;En activité
45;En activité;En activité
46;En activité;En activité
47;En activité;En activité
48;En activité;En activité
49;En activité;En activité
50;En activité;En activité
51;En activité;En activité
52;Etudiant;Etudiant
53;En activité;En activité
54;En activité;En activité
55;En activité;En activité
56;En activité;En activité
57;En activité;En activité
58;En activité;En activité
59;En activité;En activité
60;En activité;En activité
61;En activité;En activité
62;En activité;En activité
63;Etudiant;Etudiant
64;Etudiant;Etudiant
65;Etudiant;Etudiant
66;En activité;En activité
67;En activité;En activité
68;En activité;En activité
69;En activité;En activité
70;En activité;En activité
71;En activité;En activité
72;En activité;En activité
73;En activité;En activité
74;Etudiant;Etudiant
75;En activité;En activité
76;En activité;En activité
77;En activité;En activité
78;En activité;En activité
79;Retraité;Retraité
80;Etudiant;Etudiant
81;En activité;En activité
82;En activité;En activité
83;En activité;En activité
84;En activité;En activité
85;En activité;En activité
86;En activité;En activité
87;Etudiant;Etudiant
88;En activité;En activité
89;En activité;En activité
90;En activité;En activité
91;En activité;En activité
92;En activité;En activité
93;En activité;En activité
94;En activité;En activité
95;Sans emploi;Sans emploi
96;En activité;En activité
97;En activité;En activité
98;En activité;En activité
99;En activité;En activité
100;Etudiant;Etudiant
101;En activité;En activité
102;En activité;En activité
103;En activité;En activité
104;En activité;En activité
105;En activité;En activité
106;En activité;En activité
107;En activité;En activité
108;En activité;En activité
109;En activité;En activité
110;En activité;En activité
111;En activité;En activité
112;En activité;En activité
113;En activité;En activité
114;En activité;En activité
115;En activité;En activité
116;En activité;En activité
117;En activité;En activité
118;Retraité;Retraité
119;En activité;En activité
120;En activité;En activité
121;En activité;En activité
122;En activité;En activité
123;Etudiant;Etudiant
124;En activité;En activité
125;En activité;En activité
126;En activité;En activité
127;En activité;En activité
128;En activité;En activité
129;En activité;En activité
130;En activité;En activité
131;En activité;En activité
132;Etudiant;Etudiant
133;En activité;En activité
134;En apprentissage ;Etudiant
135;En activité;En activité
136;En activité;En activité
137;En activité;En activité
138;En activité;En activité
