french;code;english;spanish
Diminue beaucoup;1;;
Diminue un peu;2;;
Reste stable;3;;
Augmente un peu;4;;
Augmente beaucoup;5;;
Ne se prononce pas;NA;;
Oui, tout à fait d'accord;4;;
Oui, d'accord;3;;
Ne sais pas;NA;;
Non, pas d'accord;2;;
Non, pas d'accrod;2;;
Non, pas du tout d’accord;1;;
complètement dépendante;5;;
plutôt dépendante;4;;
plus ou moins dépendante;3;;
plutôt pas dépendante;2;;
pas du tout dépendante;1;;
Oui;1;;
Non;0;;
Oui, tout à fait;4;;
Plutôt oui;3;;
Plutôt non;2;;
Non, pas du tout;1;;
Destruction et fragmentation des habitats;;habitat destruction;
Pollution lumineuse;;light pollution;
Utilisation de produits chimiques à usage agricole;;agrochemicals;
Changement climatique;;climate change;
Industrie agroalimentaire;;Agri-food industry;
Développement urbain;;urban development;
Commerce illégal d’espèces;;illegal trade of species;
Déforestation des forêts primaires;;deforestation;
Pandémies;;pandemics;
Moins de 10 %;10;;
Entre 10 et 25 %;17.5;;
Entre 25 et 50 %;37.5;;
Entre 50 et 75 %;62.5;;
Plus de 90 %;95;;
En danger critique d'extinction;6;;
En danger;5;;
Vulnérables;4;;
Quasi menacés;3;;
Préoccupation mineure;2;;
Pas en déclin;1;;
Ils contribuent beaucoup;2;;
Ils contribuent;1;;
Ils sont neutres;0;;
Ils ne contribuent pas;0;;
Ils ne contribuent pas du tout;0;;
La collecte des individus pour collection;;collection of indivuals;
Listes de protection juridique intégrale de certaines espèces;;protection lists;
Plans d’action pour la connaissance, la gestion et la préservation;;action plans for knowledge, management and preservation;
Protection intégrale des habitats de certaines espèces;;complete protection of habitats;
Interdiction de manger les insectes;;prohibition to eat insects;
Interdiction de vendre et d'acheter les insectes pour en faire la collection ;;prohibition to sell or buy insects for collection;
Interdiction d’utilisation de certains produits chimiques toxiques pour les insectes;;prohibition to use some chemicals that are toxic for insects;
Élevages et ré-introductions pour reconstituer des populations disparues;;breeding and reintroduction ;
Création d’espaces de protection intégrale;;areas of complete protection;
Impact très faible;2;;
Impact faible;3;;
Pas d'impact ;1;;
Impact fort ;4;;
Impact très fort;5;;
Jamais;0;;
Parfois;1;;
Toujours;1;;
Oui, plusieurs fois par jour;5;;
Oui, plusieurs fois par semaine;4;;
Oui, plusieurs fois par mois;3;;
Oui, ponctuellement dans l’année;2;;
Non, jamais;1;;
Féminin;female;female;
Non binaire;Non-binary;Non-binary;
Masculin;male;male;
Je ne souhaite pas le préciser;not specified;Not specified;
Brevet;1;;
Bac;2;;
Licence (bac+3);3;;
Master (bac+5);4;;
Doctorat (bac+8);5;;
Etudiant;student;student;
En activité;active;active;
Retraité;retired;retired;
Sans emploi;unemployed;unemployed;
Complètement à gauche;1;;
Plutôt de gauche;2;;
Centre;3;;
Plutôt de droite;4;;
Complètement à droite;5;;
Oui, directement;2;;
Oui, indirectement;1;;
Oui, je suis même entomologiste;2;;
Oui, mais pas entomologiste;1;;
