survey_number;id_final;time;Q1;Q2;Q3;Q17;Q18;Q67;Q68;Q69;Q70;Q71;Q72;Q73;Q74;Q75;Q76;Q77;Q78;Q79;Q80
Lot;id_final;Horodateur;Selon vous, la biodiversité (définie par le nombre d’espèces) :;Pensez-vous que la biodiversité ait besoin d’être protégée ?;Pour quelles raisons pensez-vous cela ?;Pensez-vous que les insectes aient besoin d’être protégés ?;Pour quelles raisons pensez-vous cela ?;Quel est-votre âge ?;Quel est votre sexe ?;Avez vous grandi dans une commune plutôt rurale ou plutôt urbaine ?;Dans quel pays êtes vous né(e) ?;Dans quel pays habitez-vous actuellement ?;Par rapport aux différentes propositions ci-dessous, où pourriez-vous vous situer vis-à-vis de la nature ? ;Quel est le dernier diplôme que vous avez obtenu ?;Actuellement, vous êtes :;Politiquement, vous vous considérez plutôt : ;Vos études ou votre activité professionnelle (actuelle ou passée) sont-elles en lien avec la gestion et la protection de la biodiversité ?;"Avez-vous une activité naturaliste (amateur ou professionnel) ?
Pour plus d'information sur la définition d'un naturaliste visiter ce site https://fr.wikipedia.org/wiki/Naturaliste ";Suivez-vous sur les réseaux sociaux des pages dédiées à la biodiversité ou à sa protection ?;Suivez-vous sur les réseaux sociaux des pages dédiées à l'entomofaune ou à sa protection ?;Si vous êtes adhérent(e) à une association naturaliste ou de protection de la nature, pouvez-vous nous dire laquelle ? (autrement, laisser vide)
3;275;08/10/22 04:16 PM;Diminue beaucoup;Oui, tout à fait d'accord;Les dégâts causés par l'Homme occasionnent des changements trop rapides et drastiques. Les espèces et leurs habitats ne peuvent pas réagirent et être résilients face à cette destruction sur un si court laps de temps. Chaque espèce a son importance et mérite d'exister. ;Oui, tout à fait d'accord;Alors qu'ils représentent la grande majorité du nombre d'espèces au total vivant sur terre, ils sont souvent oubliés et mal vus. Sans eux, toutes les chaînes trophiques s'effondrent. ;25;Féminin;3;France;France;6;Licence (bac+3);En activité;Complètement à gauche;Oui, directement;Oui, je suis même entomologiste;Oui;Oui;Gretia, CEN Occitanie, Bretagne Vivante 
3;276;08/10/22 05:14 PM;Diminue beaucoup;Oui, tout à fait d'accord;;Oui, d'accord;;40;Masculin;1;;;6;Licence (bac+3);Sans emploi;Ne se prononce pas;Oui, directement;Oui, mais pas entomologiste;Oui;Non;
3;277;08/10/22 05:27 PM;Diminue beaucoup;Oui, tout à fait d'accord;En plus des service ecosystemique que la nature nous offre, je pense que la nature est un patrimoine qu’il faut admirer et comprendre pour vivre avec.;Oui, tout à fait d'accord;Comme toute espèce, un statu de protection peut être nécessaire si l’espèce est mise en danger par l’activité humaine, le fait d’être un insecte, un champignon ou ver plat parasite n’a pas à rentrer en compte ;24;Masculin;2;France ;France ;7;Licence (bac+3);En activité;Complètement à gauche;Oui, directement;Oui, je suis même entomologiste;Oui;Oui;LPO, Centre Ornithologique du Gard, WWF, Sea shepherd 
3;278;08/10/22 06:21 PM;Diminue beaucoup;Oui, tout à fait d'accord;C’est un patrimoine, et c’est également nécessaire pour le fonctionnement des écosystèmes dont nous dépendons ;Oui, tout à fait d'accord;La biomasse des insectes a chuté de 80% en 30 ans en Europe;25;Masculin;1;France;France;7;Master (bac+5);En activité;Complètement à droite;Oui, directement;Oui, je suis même entomologiste;Oui;Oui;LPO PACA
3;279;08/10/22 06:50 PM;Diminue beaucoup;Oui, tout à fait d'accord;Extinction massive;Oui, tout à fait d'accord;Maillon de la chaîne alimentaire, pollinisation ;39;Masculin;1;France;France;7;Master (bac+5);En activité;Plutôt de gauche;Oui, directement;Oui, mais pas entomologiste;Oui;Non;
3;280;08/10/22 07:16 PM;Diminue beaucoup;Oui, tout à fait d'accord;Pour conserver un patrimoine génétique riche. Cela permet de faire face aux maladies.;Oui, tout à fait d'accord;Ils font partie de la biodiversité, ils doivent être conservés. Pour polonisé.;23;Féminin;1;FRANCE;FRANCE;6;Licence (bac+3);Etudiant;Complètement à gauche;Oui, indirectement;Oui, mais pas entomologiste;Oui;Non;lpo
3;281;08/10/22 07:18 PM;Diminue beaucoup;Oui, d'accord;"La protection est importante mais peut-être que mettre des protections partout serait contre productif pour la sensibilisation (comme par exemple avoir des protections sur beaucoup d'espèces qui ralentirait des projets d'animation ou de sensibilisation (autorisation nécessaire/arrêté concernant les espèces protégées).
Peut être que cela fera aussi perdre de la crédibilité aux protection s'il y en partout.";Oui, tout à fait d'accord;"Car ils possèdent très peu de protection par rapport à d'autres espèces et ils sont très importants pour nous mais pour les écosystèmes en général et ils sont en déclin.
Ils sont aussi plutôt mal vu de manière générale ou peu connus.";21;Féminin;2;France;France;6;Bac;Etudiant;Centre;Oui, directement;Ne se prononce pas;Oui;Oui;
3;282;08/10/22 07:29 PM;Diminue beaucoup;Oui, tout à fait d'accord;L'Homme a un impact non négligeable sur les milieux qui l'entourent, sa population augmente et la pression sur les milieux naturels qui en découle augmente elle aussi, donc les habitats disparaissent avec leurs biodiversité associée;Oui, tout à fait d'accord;Car 80% de leur population a déjà disparue ;25;Masculin;4;France;France;7;;En activité;Plutôt de gauche;Oui, directement;Oui, mais pas entomologiste;Oui;Non;Association les Amis Naturalistes des Coteaux d'Avron (ANCA)
3;283;08/10/22 07:43 PM;Diminue un peu;Oui, tout à fait d'accord;;Oui, tout à fait d'accord;;19;Masculin;2;France;France;7;;Etudiant;Plutôt de gauche;Oui, directement;Oui, je suis même entomologiste;Oui;Oui;LPO, SEL, SLEM, GMHL, SLO, CEN NA
